dataset,n_subjects,n_records,n_tasks,modality of exp,type of exp,Type Subject,duration_hours_total,size,size_bytes,source,dataset_title,record_modality,nchans_set,sampling_freqs,license,doi
ds005522,0,0,0,,Unknown,Unknown,0,Unknown,115392336164.0,openneuro,Spatial Navigation Memory of Object Locations,ieeg,"[{""val"": 133, ""count"": 8}, {""val"": 110, ""count"": 8}, {""val"": 88, ""count"": 7}, {""val"": 120, ""count"": 7}, {""val"": 72, ""count"": 6}, {""val"": 188, ""count"": 6}, {""val"": 173, ""count"": 6}, {""val"": 126, ""count"": 6}, {""val"": 56, ""count"": 5}, {""val"": 108, ""count"": 5}, {""val"": 46, ""count"": 4}, {""val"": 68, ""count"": 4}, {""val"": 112, ""count"": 4}, {""val"": 127, ""count"": 4}, {""val"": 128, ""count"": 4}, {""val"": 64, ""count"": 4}, {""val"": 92, ""count"": 3}, {""val"": 144, ""count"": 3}, {""val"": 146, ""count"": 3}, {""val"": 50, ""count"": 3}, {""val"": 124, ""count"": 3}, {""val"": 123, ""count"": 3}, {""val"": 186, ""count"": 3}, {""val"": 104, ""count"": 3}, {""val"": 182, ""count"": 3}, {""val"": 86, ""count"": 3}, {""val"": 85, ""count"": 2}, {""val"": 180, ""count"": 2}, {""val"": 59, ""count"": 2}, {""val"": 138, ""count"": 2}, {""val"": 163, ""count"": 2}, {""val"": 160, ""count"": 2}, {""val"": 130, ""count"": 2}, {""val"": 140, ""count"": 2}, {""val"": 111, ""count"": 2}, {""val"": 70, ""count"": 2}, {""val"": 75, ""count"": 2}, {""val"": 96, ""count"": 2}, {""val"": 166, ""count"": 2}, {""val"": 63, ""count"": 2}, {""val"": 170, ""count"": 2}, {""val"": 118, ""count"": 2}, {""val"": 100, ""count"": 2}, {""val"": 158, ""count"": 2}, {""val"": 105, ""count"": 1}, {""val"": 109, ""count"": 1}, {""val"": 94, ""count"": 1}, {""val"": 151, ""count"": 1}, {""val"": 54, ""count"": 1}, {""val"": 90, ""count"": 1}, {""val"": 174, ""count"": 1}, {""val"": 76, ""count"": 1}, {""val"": 122, ""count"": 1}, {""val"": 149, ""count"": 1}, {""val"": 172, ""count"": 1}, {""val"": 125, ""count"": 1}, {""val"": 78, ""count"": 1}, {""val"": 178, ""count"": 1}, {""val"": 84, ""count"": 1}, {""val"": 165, ""count"": 1}, {""val"": 116, ""count"": 1}, {""val"": 136, ""count"": 1}, {""val"": 80, ""count"": 1}, {""val"": 60, ""count"": 1}, {""val"": 177, ""count"": 1}, {""val"": 169, ""count"": 1}]","[{""val"": 1000.0, ""count"": 70}, {""val"": 500.0, ""count"": 61}, {""val"": 1600.0, ""count"": 26}, {""val"": 999.0, ""count"": 13}, {""val"": 2000.0, ""count"": 4}, {""val"": 1999.0, ""count"": 2}]",CC0,doi:10.18112/openneuro.ds005522.v1.0.0
ds005523,0,0,0,,Unknown,Unknown,0,Unknown,74834541025.0,openneuro,Spatial Memory of Object Locations with Open-Loop Stimulation at Encoding,ieeg,"[{""val"": 166, ""count"": 7}, {""val"": 144, ""count"": 7}, {""val"": 180, ""count"": 7}, {""val"": 182, ""count"": 7}, {""val"": 126, ""count"": 6}, {""val"": 156, ""count"": 5}, {""val"": 56, ""count"": 5}, {""val"": 50, ""count"": 5}, {""val"": 118, ""count"": 4}, {""val"": 109, ""count"": 4}, {""val"": 141, ""count"": 4}, {""val"": 68, ""count"": 3}, {""val"": 64, ""count"": 3}, {""val"": 133, ""count"": 3}, {""val"": 87, ""count"": 2}, {""val"": 104, ""count"": 2}, {""val"": 120, ""count"": 2}, {""val"": 138, ""count"": 2}, {""val"": 123, ""count"": 2}, {""val"": 108, ""count"": 2}, {""val"": 85, ""count"": 2}, {""val"": 174, ""count"": 2}, {""val"": 76, ""count"": 2}, {""val"": 100, ""count"": 2}, {""val"": 94, ""count"": 2}, {""val"": 163, ""count"": 1}, {""val"": 173, ""count"": 1}, {""val"": 110, ""count"": 1}, {""val"": 88, ""count"": 1}, {""val"": 143, ""count"": 1}, {""val"": 92, ""count"": 1}, {""val"": 188, ""count"": 1}, {""val"": 124, ""count"": 1}, {""val"": 112, ""count"": 1}, {""val"": 80, ""count"": 1}]","[{""val"": 1000.0, ""count"": 58}, {""val"": 1600.0, ""count"": 22}, {""val"": 500.0, ""count"": 18}, {""val"": 499.7071, ""count"": 2}, {""val"": 999.0, ""count"": 2}]",CC0,doi:10.18112/openneuro.ds005523.v1.0.1
ds005530,0,0,0,,Unknown,Unknown,0,Unknown,6949640968.0,openneuro,Depotentiation of emotional reactivity using TMR during REM sleep,eeg,"[{""val"": 10, ""count"": 21}]","[{""val"": 500.0, ""count"": 21}]",CC0,doi:10.18112/openneuro.ds005530.v1.0.9
ds005540,0,0,0,,Unknown,Unknown,0,Unknown,50796471315.0,openneuro,EmoEEG-MC: A Multi-Context Emotional EEG Dataset for Cross-Context Emotion Decoding,['eeg'],"[{""val"": 68, ""count"": 88}, {""val"": 64, ""count"": 15}]","[{""val"": 600.0, ""count"": 95}, {""val"": 1200.0, ""count"": 8}]",CC0,doi:10.18112/openneuro.ds005540.v1.0.7
ds005545,0,0,0,,Unknown,Unknown,0,Unknown,42905692557.0,openneuro,Auditory naming,ieeg,"[{""val"": 128, ""count"": 237}, {""val"": 138, ""count"": 14}, {""val"": 136, ""count"": 11}, {""val"": 134, ""count"": 11}, {""val"": 140, ""count"": 8}, {""val"": 112, ""count"": 6}, {""val"": 110, ""count"": 6}, {""val"": 156, ""count"": 5}, {""val"": 142, ""count"": 5}, {""val"": 150, ""count"": 5}, {""val"": 164, ""count"": 4}, {""val"": 132, ""count"": 4}, {""val"": 144, ""count"": 4}, {""val"": 148, ""count"": 4}, {""val"": 118, ""count"": 3}, {""val"": 116, ""count"": 3}, {""val"": 84, ""count"": 3}, {""val"": 96, ""count"": 3}]","[{""val"": 1000.0, ""count"": 336}]",CC0,doi:10.18112/openneuro.ds005545.v1.0.3
ds005555,0,0,0,,Unknown,Unknown,0,Unknown,35921406226.0,openneuro,The Bitbrain Open Access Sleep (BOAS) dataset,eeg,"[{""val"": 9, ""count"": 96}, {""val"": 11, ""count"": 68}, {""val"": 14, ""count"": 25}, {""val"": 16, ""count"": 19}, {""val"": 3, ""count"": 18}, {""val"": 2, ""count"": 16}, {""val"": 8, ""count"": 9}, {""val"": 15, ""count"": 5}]","[{""val"": 256.0, ""count"": 256}]",CC0,doi:10.18112/openneuro.ds005555.v1.1.1
ds005557,0,0,0,,Unknown,Unknown,0,Unknown,37243089880.0,openneuro,Free Recall with Closed-Loop Stimulation at Encoding (Encoding Classifier),ieeg,"[{""val"": 110, ""count"": 7}, {""val"": 112, ""count"": 6}, {""val"": 76, ""count"": 5}, {""val"": 109, ""count"": 4}, {""val"": 126, ""count"": 4}, {""val"": 108, ""count"": 4}, {""val"": 127, ""count"": 3}, {""val"": 67, ""count"": 2}, {""val"": 70, ""count"": 2}, {""val"": 62, ""count"": 2}, {""val"": 128, ""count"": 2}, {""val"": 83, ""count"": 2}, {""val"": 120, ""count"": 2}, {""val"": 64, ""count"": 2}, {""val"": 60, ""count"": 2}, {""val"": 97, ""count"": 2}, {""val"": 125, ""count"": 1}, {""val"": 99, ""count"": 1}, {""val"": 95, ""count"": 1}, {""val"": 121, ""count"": 1}, {""val"": 118, ""count"": 1}, {""val"": 136, ""count"": 1}, {""val"": 124, ""count"": 1}]","[{""val"": 1000.0, ""count"": 58}]",CC0,doi:10.18112/openneuro.ds005557.v1.0.0
ds005558,0,0,0,,Unknown,Unknown,0,Unknown,13091967278.0,openneuro,Categorized Free Recall with Closed-Loop Stimulation at Encoding (Encoding Classifier),['ieeg'],"[{""val"": 126, ""count"": 3}, {""val"": 128, ""count"": 2}, {""val"": 124, ""count"": 2}, {""val"": 113, ""count"": 2}, {""val"": 114, ""count"": 2}, {""val"": 78, ""count"": 2}, {""val"": 68, ""count"": 2}, {""val"": 156, ""count"": 2}, {""val"": 122, ""count"": 1}, {""val"": 56, ""count"": 1}, {""val"": 90, ""count"": 1}, {""val"": 64, ""count"": 1}, {""val"": 110, ""count"": 1}]","[{""val"": 1000.0, ""count"": 22}]",CC0,doi:10.18112/openneuro.ds005558.v1.0.0
ds005565,0,0,0,,Unknown,Unknown,0,Unknown,2816585202.0,openneuro,"Neural associations between fingerspelling, print, and signs: An ERP priming study with deaf readers",eeg,"[{""val"": 32, ""count"": 24}]","[{""val"": 500.0, ""count"": 24}]",CC0,doi:10.18112/openneuro.ds005565.v1.0.3
ds005571,0,0,0,,Unknown,Unknown,0,Unknown,67959727373.0,openneuro,Expectation of Conflict Stimuli ,eeg,"[{""val"": 66, ""count"": 41}, {""val"": 67, ""count"": 4}]","[{""val"": 5000.0, ""count"": 45}]",CC0,doi:10.18112/openneuro.ds005571.v1.0.1
